,year,exporter,importer,product_code,value,weight
0,1995,8,380,930200,40.227,0.406
1,1995,8,380,930330,19.774,1.687
2,1995,20,251,930320,5.812,0.082
3,1995,20,251,930330,1.403,0.014
4,1995,20,724,930200,1.1,0.002
5,1995,20,724,930320,8.065,0.05
6,1995,20,724,930330,8.568,0.062
7,1995,32,40,930200,8.5,0.125
8,1995,32,40,930330,10.218,0.148
9,1995,32,68,930200,5.575,0.164
10,1995,32,76,930200,400.627,1.937
11,1995,32,124,930200,175.65,1.469
12,1995,32,152,930200,13.973,0.089
13,1995,32,170,930200,19.673,0.089
14,1995,32,214,930200,9.5,0.059
15,1995,32,218,930200,7.49,0.042
16,1995,32,222,930200,34.059,0.269
17,1995,32,233,930200,5.466,0.025
18,1995,32,246,930200,54.619,0.358
19,1995,32,251,930200,20.069,0.218
20,1995,32,276,930200,1.0,0.004
21,1995,32,300,930200,20.436,0.093
22,1995,32,320,930200,258.838,16.454
23,1995,32,376,930200,50.0,0.179
24,1995,32,434,930200,42.75,0.359
25,1995,32,600,930200,167.66,3.128
26,1995,32,600,930320,26.789,0.785
27,1995,32,600,930330,14.447,0.449
28,1995,32,604,930200,128.862,1.062
29,1995,32,616,930200,6.239,0.028
30,1995,32,711,930200,120.005,2.25
31,1995,32,724,930200,4.55,0.125
32,1995,32,724,930320,25.574,0.839
33,1995,32,724,930330,28.146,0.855
34,1995,32,792,930200,9.399,0.035
35,1995,32,842,930200,1586.768,12.506
36,1995,32,858,930200,209.438,4.687
37,1995,32,858,930320,27.056,0.921
38,1995,32,887,930200,283.5,5.812
39,1995,32,894,930200,1.351,0.006
40,1995,36,58,930100,16.306,0.066
41,1995,36,90,930320,19.948,0.515
42,1995,36,90,930330,11.634,0.363
43,1995,36,124,930200,127.629,0.53
44,1995,36,156,930320,5.25,0.06
45,1995,36,156,930330,7.083,0.054
46,1995,36,196,930320,19.892,0.173
47,1995,36,233,930200,25.947,0.2
48,1995,36,246,930200,6.83,0.008
49,1995,36,246,930330,0.71,0.011
50,1995,36,276,930200,1.756,0.007
51,1995,36,276,930320,5.929,0.008
52,1995,36,300,930320,1.294,0.019
53,1995,36,344,930200,1.185,0.001
54,1995,36,344,930330,0.618,0.003
55,1995,36,360,930200,2.038,0.003
56,1995,36,380,930320,20.41,0.073
57,1995,36,470,930320,0.869,0.004
58,1995,36,528,930100,2.283,0.031
59,1995,36,540,930320,15.033,0.106
60,1995,36,540,930330,1.4,0.016
61,1995,36,548,930320,10.849,0.339
62,1995,36,554,930200,4.956,0.021
63,1995,36,554,930320,207.568,13.562
64,1995,36,554,930330,124.912,2.765
65,1995,36,579,930320,207.515,2.125
66,1995,36,598,930200,3.544,0.009
67,1995,36,598,930320,10.851,0.217
68,1995,36,598,930330,2.167,0.001
69,1995,36,600,930100,27.833,1.062
70,1995,36,702,930320,0.833,0.004
71,1995,36,711,930320,16.275,1.143
72,1995,36,711,930330,14.823,0.01
73,1995,36,724,930320,6.266,0.062
74,1995,36,736,930320,0.561,0.006
75,1995,36,752,930200,29.647,0.004
76,1995,36,752,930330,1.406,0.011
77,1995,36,757,930200,3.548,0.002
78,1995,36,784,930200,4.522,0.044
79,1995,36,826,930100,6.883,0.06
80,1995,36,826,930200,25.422,0.051
81,1995,36,826,930320,18.381,0.099
82,1995,36,826,930330,27.148,0.165
83,1995,36,834,930200,2.028,0.003
84,1995,36,842,930100,184.8,0.554
85,1995,36,842,930200,7.633,0.012
86,1995,36,842,930320,19.268,0.088
87,1995,36,842,930330,8.004,0.021
88,1995,40,20,930330,46.618,0.093
89,1995,40,32,930200,205.565,0.566
90,1995,40,32,930330,21.481,0.083
91,1995,40,36,930200,130.609,0.474
92,1995,40,36,930330,36.594,0.127
93,1995,40,48,930330,5.654,0.022
94,1995,40,58,930320,75.641,0.078
95,1995,40,58,930330,63.484,0.126
96,1995,40,76,930200,424.781,2.687
97,1995,40,100,930330,13.392,0.053
98,1995,40,124,930200,1108.84,6.436
99,1995,40,124,930330,13.061,0.601
100,1995,40,152,930320,2.51,0.006
101,1995,40,152,930330,17.757,0.07
102,1995,40,156,930330,15.118,0.062
103,1995,40,170,930200,4.415,0.011
104,1995,40,188,930200,6.414,0.03
105,1995,40,203,930320,13.205,0.105
106,1995,40,203,930330,22.75,0.095
107,1995,40,208,930200,3.08,0.025
108,1995,40,208,930330,125.634,0.208
109,1995,40,218,930200,78.119,0.242
110,1995,40,222,930200,103.027,0.285
111,1995,40,233,930100,2.033,0.003
112,1995,40,233,930200,85.651,0.302
113,1995,40,246,930200,833.797,0.652
114,1995,40,246,930330,4.344,0.185
115,1995,40,251,930320,169.207,0.992
116,1995,40,251,930330,699.506,2.898
117,1995,40,276,930200,617.0,1.125
118,1995,40,276,930320,501.83,1.562
119,1995,40,276,930330,3353.644,16.287
120,1995,40,300,930330,2.49,0.007
121,1995,40,304,930320,1.328,0.003
122,1995,40,304,930330,7.568,0.007
123,1995,40,340,930200,10.772,0.053
124,1995,40,344,930200,135.343,0.579
125,1995,40,348,930330,60.812,0.199
126,1995,40,352,930200,1.689,0.004
127,1995,40,360,930100,697.124,1.812
128,1995,40,380,930200,15.8,0.031
129,1995,40,380,930320,40.341,0.234
130,1995,40,380,930330,431.506,2.767
131,1995,40,392,930330,77.926,0.106
132,1995,40,410,930200,2.099,0.004
133,1995,40,410,930330,15.44,0.033
134,1995,40,428,930100,4.349,0.011
135,1995,40,428,930200,179.262,0.843
136,1995,40,428,930330,30.459,0.1
137,1995,40,446,930200,1.669,0.002
138,1995,40,458,930330,2.586,0.01
139,1995,40,470,930200,2.696,0.006
140,1995,40,480,930330,5.19,0.027
141,1995,40,484,930200,3.0,0.01
142,1995,40,512,930330,17.36,0.066
143,1995,40,528,930330,54.974,0.097
144,1995,40,540,930330,13.194,0.053
145,1995,40,554,930330,7.519,0.028
146,1995,40,558,930320,61.321,0.144
147,1995,40,566,930330,1.19,0.004
148,1995,40,579,930200,31.815,0.085
149,1995,40,579,930320,62.633,0.109
150,1995,40,579,930330,67.425,0.264
151,1995,40,586,930330,2071.499,3.125
152,1995,40,591,930200,28.684,0.078
153,1995,40,600,930200,163.361,1.125
154,1995,40,604,930330,3.968,0.015
155,1995,40,616,930200,122.0,0.324
156,1995,40,616,930330,21.825,0.199
157,1995,40,620,930200,16.186,0.082
158,1995,40,620,930320,22.695,0.64
159,1995,40,620,930330,107.835,0.543
160,1995,40,634,930330,0.595,0.002
161,1995,40,642,930100,60.0,1.125
162,1995,40,642,930330,40.214,0.097
163,1995,40,643,930330,78.867,0.296
164,1995,40,682,930100,75.017,18.5
165,1995,40,702,930330,10.351,0.089
166,1995,40,703,930200,63.32,0.273
167,1995,40,703,930330,2.872,0.023
168,1995,40,705,930200,5.76,0.004
169,1995,40,705,930320,4.714,0.008
170,1995,40,705,930330,42.037,0.054
171,1995,40,711,930330,148.41,1.0
172,1995,40,716,930330,26.995,0.157
